imdb_id,type,title,country,date_added,release_year,rating,listed_in,description,age_certification,runtime,imdb_score,imdb_votes
tt11394180,Movie,Dick Johnson Is Dead,United States,"September 25, 2021",2020,PG-13,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",PG-13,89mins,7.4,6390
tt13278100,TV Show,Ganglands,Somewhere,"September 24, 2021",2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",TV-MA,46mins,7,2460
tt15320436,TV Show,Jailbirds New Orleans,Somewhere,"September 24, 2021",2021,TV-MA,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",TV-MA,41mins,6.6,205
tt9432978,TV Show,Kota Factory,India,"September 24, 2021",2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",TV-MA,42mins,9.3,66985
tt10574558,TV Show,Midnight Mass,Somewhere,"September 24, 2021",2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",TV-MA,64mins,7.7,102321
tt10101702,Movie,My Little Pony: A New Generation,Somewhere,"September 24, 2021",2021,PG,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",PG,91mins,6.8,3468
tt0108041,Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",,124mins,7,678
tt1877368,TV Show,The Great British Baking Show,United Kingdom,"September 24, 2021",2021,TV-14,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",TV-PG,57mins,8.6,9564
tt5164438,Movie,The Starling,United States,"September 24, 2021",2021,PG-13,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,PG-13,102mins,6.3,11733
tt14216574,TV Show,"Vendetta: Truth, Lies and The Mafia",Somewhere,"September 24, 2021",2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",TV-MA,39mins,6.7,232
tt14202282,TV Show,Bangkok Breaking,Somewhere,"September 23, 2021",2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",TV-MA,60mins,5.9,281
tt15204288,Movie,Confessions of an Invisible Girl,Somewhere,"September 22, 2021",2021,TV-PG,"Children & Family Movies, Comedies","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",,91mins,5.2,966
tt14178956,TV Show,Crime Stories: India Detectives,Somewhere,"September 22, 2021",2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,TV-MA,52mins,7.2,934
tt5707802,TV Show,Dear White People,United States,"September 22, 2021",2021,TV-MA,"TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",TV-MA,29mins,6.1,24863
tt8598690,TV Show,Falsa identidad,Mexico,"September 22, 2021",2020,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,TV-14,43mins,7,351
tt5563324,Movie,Intrusion,Somewhere,"September 22, 2021",2021,TV-14,Thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",,92mins,5.3,15464
tt11698590,TV Show,Jaguar,Somewhere,"September 22, 2021",2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",TV-MA,43mins,5.7,1718
tt15287836,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Somewhere,"September 22, 2021",2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",,61mins,6.2,3038
tt4320258,TV Show,Resurrection: Ertugrul,Turkey,"September 22, 2021",2018,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",TV-14,57mins,7.9,35515
tt0151121,Movie,Jeans,India,"September 21, 2021",1998,TV-14,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",,175mins,6.4,3567
tt11904786,TV Show,Love on the Spectrum,Australia,"September 21, 2021",2021,TV-14,"Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",TV-14,42mins,8.6,5210
tt0282003,Movie,Minsara Kanavu,Somewhere,"September 21, 2021",1997,TV-PG,"Comedies, International Movies, Music & Musicals",A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,G,145mins,6.7,1212
tt1375670,Movie,Grown Ups,United States,"September 20, 2021",2010,PG-13,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",PG-13,102mins,5.9,247229
